model_name,TP,TN,FP,FN,Accuracy,AUROC,AUPR,Precision,Recall,F1,Train_Test_Time
CV_RF,390424.0,149276.0,84973.0,325472.0,0.5680185655873577,0.5678454706470535,0.5900881453560403,0.8212588636444909,0.5453641311028418,0.6554625940050013,173.34
Baseline_GBT,330585.0,238958.0,144812.0,235790.0,0.5994274558093765,0.5993618653388731,0.5921143690572241,0.6953872237309028,0.5836857205914809,0.634659023279566,116.96
Baseline_RF,325504.0,239354.0,149893.0,235394.0,0.594496629461819,0.594434974075626,0.5863415643818957,0.6846993144676975,0.5803265477858719,0.6282072189868715,38.34
Tuned_GBT,313556.0,265304.0,161841.0,209444.0,0.6092333275447431,0.6091989236956347,0.5943196320513571,0.6595666358853758,0.5995334608030592,0.6281188745559131,4872.3
CV_LR,310536.0,255481.0,164861.0,219267.0,0.59571644327971,0.5956771424852536,0.5828216432401201,0.653214050572469,0.5861348463485484,0.617859132510943,152.83
Tuned_RF,297800.0,280825.0,177597.0,193923.0,0.6089859968741613,0.6089740777710633,0.5895255738497178,0.626423809994594,0.6056255249398543,0.6158491190338324,2089.0
Tuned_RF2,311983.0,246227.0,163414.0,228521.0,0.587499802661699,0.587452805144262,0.5766702390917446,0.6562578224094809,0.57720756923168,0.614199611970064,843.65
Tuned_LR,249532.0,341227.0,225865.0,133521.0,0.6217566792436944,0.6218228883577326,0.587362346525713,0.5248918272517495,0.6514294366575905,0.5813547673131807,2386.31
Tuned_LR2,243606.0,324180.0,231791.0,150568.0,0.597578264370175,0.5976364673784024,0.5698579879684897,0.5124264562039726,0.6180164089970419,0.5602900740710074,2518.9
Baseline_LR,229461.0,325116.0,245936.0,149632.0,0.5836761757415974,0.583745213910684,0.5583488691324588,0.48267237698176474,0.6052894672283582,0.5370712354737914,45.69
